English,Portuguese
what,que
no,não
The,o
in,de
The,a
It is,é
you,você
and,e
I,eu
a,um
for,para
it is,está
one,uma
if,se
with,com
per,por
he,ele
this,isso
in,em
me,me
of,do
but,mas
how,como
well,bem
gives,da
you,os
at the,no
Is it over there,ela
at,na
yea,sim
on here,aqui
most,mais
has,tem
my,meu
your,seu
much,muito
he was,foi
at,as
go,vai
your,sua
I am,estou
let's go,vamos
everything,tudo
mine,minha
only,só
he can,pode
now,agora
I go,vou
to be,ser
When,quando
to do,fazer
know,sei
we,nós
they,eles
have,tenho
you,te
was,estava
would you like,quer
right,certo
You know,sabe
already,já
it was,era
U.S,nos
or,ou
who,quem
to the,ao
nothing,nada
said,disse
there is,há
I want,quero
over there,lá
am,sou
to have,ter
to say,dizer
are,são
can I,posso
I think,acho
me,mim
on,sobre
why,porque
same,mesmo
thing,coisa
all,todos
they are,estão
something,algo
until,até
so,assim
time,tempo
Never,nunca
House,casa
that,esse
you,vocês
The,à
what,quê
That,essa
for,pra
to see,ver
also,também
So,tão
yet,ainda
From,dos
guy,cara
favor,favor
night,noite
go,ir
best,melhor
without,sem
thanks,obrigado
we have,temos
day,dia
maybe,talvez
it is,esta
we are,estamos
God,deus
this,isto
somebody,alguém
life,vida
mother,mãe
This one,este
Mr,senhor
years old,anos
ever,sempre
turn,vez
their,seus
truth,verdade
oh,oh
stay,ficar
his,dele
looks,parece
later,depois
clear,claro
he had,tinha
little,pouco
speak,falar
stuff,coisas
people,pessoas
before,antes
fur,pelo
men,homem
necessary,preciso
only,apenas
nor,nem
two,dois
Good,boa
he must,deve
making,fazendo
does,faz
all,todo
place,lugar
he thinks,acha
did,fez
outside,fora
Ouch,aí
be,estar
which,qual
job,trabalho
of this,disso
today,hoje
of,das
nobody,ninguém
it needs,precisa
new,novo
with me,comigo
I wanted,queria
Hey,ei
some,alguma
world,mundo
know,saber
to give,dar
big,grande
be,seja
cash,dinheiro
it could,poderia
I feel,sinto
we can,podemos
your,suas
Wow,nossa
him,lhe
Name,nome
it will be,será
any,qualquer
how much,quanto
other,outro
through the,pela
my,meus
her,dela
our,nosso
son,filho
excuse me,desculpe
Hi,oi
OK,ok
assurance,certeza
they go,vão
other,outra
hour,hora
